Summary,Issue key,Issue id,Parent id,Issue Type,Status
HSBC GROUP,JBT-207,2352139,,Epic,OPEN
BANCO SABADELL,JBT-208,2352140,,Epic,OPEN
SAP,JBT-209,2352141,,Epic,OPEN
ACCENTURE SOFTWARE,JBT-210,2352142,,Epic,OPEN
CONSUMERS ENERGY,JBT-211,2352143,,Epic,OPEN
3479806,JBT-212,2352144,2352139.0,Sub-task,OPEN
3448666,JBT-213,2352145,2352140.0,Sub-task,OPEN
3448671,JBT-214,2352146,2352140.0,Sub-task,OPEN
3503853,JBT-215,2352147,2352141.0,Sub-task,OPEN
3503854,JBT-216,2352148,2352141.0,Sub-task,OPEN
3503855,JBT-217,2352150,2352141.0,Sub-task,OPEN
3508026,JBT-218,2352151,2352142.0,Sub-task,OPEN
3581018,JBT-219,2352152,2352143.0,Sub-task,OPEN
3508049,JBT-220,2352153,2352142.0,Sub-task,OPEN
3508059,JBT-221,2352155,2352142.0,Sub-task,OPEN
this is the summary,JBT-222,2352201,,Epic,OPEN
TEST1,JBT-223,2352202,,Epic,OPEN
